,Opening Time,Valve Coef (dimensionless)
BALL_NPS30_PS_CAN_12MIN_OPEN,10.38,1000
BALL_NPS30_PS_CAN_12MIN_OPEN,10.495,1550
BALL_NPS30_PS_CAN_12MIN_OPEN,10.611,2400
BALL_NPS30_PS_CAN_12MIN_OPEN,10.727,3200
BALL_NPS30_PS_CAN_12MIN_OPEN,10.843,4400
BALL_NPS30_PS_CAN_12MIN_OPEN,10.958,5800
BALL_NPS30_PS_CAN_12MIN_OPEN,11.074,7700
BALL_NPS30_PS_CAN_12MIN_OPEN,11.19,9600
BALL_NPS30_PS_CAN_12MIN_OPEN,11.306,13000
BALL_NPS30_PS_CAN_12MIN_OPEN,11.421,16000
BALL_NPS30_PS_CAN_12MIN_OPEN,11.537,22000
BALL_NPS30_PS_CAN_12MIN_OPEN,11.653,30000
BALL_NPS30_PS_CAN_12MIN_OPEN,12,184400
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,0,0
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,7.523,500
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,10.031,1000
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,12.539,1550
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,13.542,1890
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,13.611,2400
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,13.727,3200
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,13.843,4400
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,13.958,5800
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.074,7700
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.19,9600
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.306,13000
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.421,16000
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.537,22000
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.653,30000
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,15,184400
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,0,0
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,11.111,500
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.333,800
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.38,1000
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.495,1550
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.611,2400
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.727,3200
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.843,4400
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.958,5800
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.074,7700
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.19,9600
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.306,13000
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.421,16000
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.537,22000
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,14.653,30000
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,15,160100
BALL_NPS30_PS_CAN_15MIN_OPEN,0,0
BALL_NPS30_PS_CAN_15MIN_OPEN,11.111,500
BALL_NPS30_PS_CAN_15MIN_OPEN,13.333,800
BALL_NPS30_PS_CAN_15MIN_OPEN,13.38,1000
BALL_NPS30_PS_CAN_15MIN_OPEN,13.495,1550
BALL_NPS30_PS_CAN_15MIN_OPEN,13.611,2400
BALL_NPS30_PS_CAN_15MIN_OPEN,13.727,3200
BALL_NPS30_PS_CAN_15MIN_OPEN,13.843,4400
BALL_NPS30_PS_CAN_15MIN_OPEN,13.958,5800
BALL_NPS30_PS_CAN_15MIN_OPEN,14.074,7700
BALL_NPS30_PS_CAN_15MIN_OPEN,14.19,9600
BALL_NPS30_PS_CAN_15MIN_OPEN,14.306,13000
BALL_NPS30_PS_CAN_15MIN_OPEN,14.421,16000
BALL_NPS30_PS_CAN_15MIN_OPEN,14.537,22000
BALL_NPS30_PS_CAN_15MIN_OPEN,14.653,30000
BALL_NPS30_PS_CAN_15MIN_OPEN,15,184400
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,0,0
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,1.944,500
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,2.333,800
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,2.38,1000
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,2.495,1550
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,2.611,2400
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,2.727,3200
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,2.843,4400
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,2.958,5800
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,3.074,7700
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,3.19,9600
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,3.306,13000
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,3.421,16000
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,3.537,22000
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,3.653,30000
BALL_NPS30_PS_CAN_4MIN_20_80_OPEN,4,184400
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,0,0
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,2.778,500
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,3.333,800
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,3.38,1000
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,3.495,1550
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,3.611,2400
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,3.727,3200
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,3.843,4400
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,3.958,5800
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,4.074,7700
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,4.19,9600
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,4.306,13000
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,4.421,16000
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,4.537,22000
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,4.653,30000
BALL_NPS30_PS_CAN_5MIN_20_80_OPEN,5,184400
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,0,0
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,2.523,500
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,3.364,1000
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,4.205,1550
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,4.542,1890
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,4.611,2400
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,4.727,3200
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,4.843,4400
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,4.958,5800
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,5.074,7700
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,5.19,9600
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,5.306,13000
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,5.421,16000
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,5.537,22000
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,5.653,30000
BALL_NPS30_PS_CAN_6MIN_30_70_OPEN,6,184400
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,0,0
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,3.611,500
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,4.333,800
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,4.38,1000
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,4.495,1550
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,4.611,2400
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,4.727,3200
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,4.843,4400
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,4.958,5800
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,5.074,7700
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,5.19,9600
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,5.306,13000
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,5.421,16000
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,5.537,22000
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,5.653,30000
BALL_NPS30_PS_CAN_6MIN_FLANGED_OPEN,6,160100
BALL_NPS30_PS_CAN_6MIN_OPEN,0,0
BALL_NPS30_PS_CAN_6MIN_OPEN,3.611,500
BALL_NPS30_PS_CAN_6MIN_OPEN,4.333,800
BALL_NPS30_PS_CAN_6MIN_OPEN,4.38,1000
BALL_NPS30_PS_CAN_6MIN_OPEN,4.495,1550
BALL_NPS30_PS_CAN_6MIN_OPEN,4.611,2400
BALL_NPS30_PS_CAN_6MIN_OPEN,4.727,3200
BALL_NPS30_PS_CAN_6MIN_OPEN,4.843,4400
BALL_NPS30_PS_CAN_6MIN_OPEN,4.958,5800
BALL_NPS30_PS_CAN_6MIN_OPEN,5.074,7700
BALL_NPS30_PS_CAN_6MIN_OPEN,5.19,9600
BALL_NPS30_PS_CAN_6MIN_OPEN,5.306,13000
BALL_NPS30_PS_CAN_6MIN_OPEN,5.421,16000
BALL_NPS30_PS_CAN_6MIN_OPEN,5.537,22000
BALL_NPS30_PS_CAN_6MIN_OPEN,5.653,30000
BALL_NPS30_PS_CAN_6MIN_OPEN,6,184400
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,0,0
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,4.19,500
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,5.586,1000
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,6.983,1550
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,7.542,1890
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,7.611,2400
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,7.727,3200
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,7.843,4400
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,7.958,5800
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,8.074,7700
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,8.19,9600
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,8.306,13000
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,8.421,16000
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,8.537,22000
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,8.653,30000
BALL_NPS30_PS_CAN_9MIN_30_70_OPEN,9,184400
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,0,0
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,6.111,500
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,7.333,800
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,7.38,1000
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,7.495,1550
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,7.611,2400
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,7.727,3200
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,7.843,4400
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,7.958,5800
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,8.074,7700
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,8.19,9600
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,8.306,13000
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,8.421,16000
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,8.537,22000
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,8.653,30000
BALL_NPS30_PS_CAN_9MIN_FLANGED_OPEN,9,160100
BALL_NPS30_PS_CAN_9MIN_OPEN,0,0
BALL_NPS30_PS_CAN_9MIN_OPEN,6.111,500
BALL_NPS30_PS_CAN_9MIN_OPEN,7.333,800
BALL_NPS30_PS_CAN_9MIN_OPEN,7.38,1000
BALL_NPS30_PS_CAN_9MIN_OPEN,7.495,1550
BALL_NPS30_PS_CAN_9MIN_OPEN,7.611,2400
BALL_NPS30_PS_CAN_9MIN_OPEN,7.727,3200
BALL_NPS30_PS_CAN_9MIN_OPEN,7.843,4400
BALL_NPS30_PS_CAN_9MIN_OPEN,7.958,5800
BALL_NPS30_PS_CAN_9MIN_OPEN,8.074,7700
BALL_NPS30_PS_CAN_9MIN_OPEN,8.19,9600
BALL_NPS30_PS_CAN_9MIN_OPEN,8.306,13000
BALL_NPS30_PS_CAN_9MIN_OPEN,8.421,16000
BALL_NPS30_PS_CAN_9MIN_OPEN,8.537,22000
BALL_NPS30_PS_CAN_9MIN_OPEN,8.653,30000
BALL_NPS30_PS_CAN_9MIN_OPEN,9,184400
BALL_NPS30_PS_CAN_DEFAULT_OPEN,0,0
BALL_NPS30_PS_CAN_DEFAULT_OPEN,0.347,500
BALL_NPS30_PS_CAN_DEFAULT_OPEN,0.417,800
BALL_NPS30_PS_CAN_DEFAULT_OPEN,0.463,1000
BALL_NPS30_PS_CAN_DEFAULT_OPEN,0.579,1550
BALL_NPS30_PS_CAN_DEFAULT_OPEN,0.694,2400
BALL_NPS30_PS_CAN_DEFAULT_OPEN,0.81,3200
BALL_NPS30_PS_CAN_DEFAULT_OPEN,0.926,4400
BALL_NPS30_PS_CAN_DEFAULT_OPEN,1.042,5800
BALL_NPS30_PS_CAN_DEFAULT_OPEN,1.157,7700
BALL_NPS30_PS_CAN_DEFAULT_OPEN,1.273,9600
BALL_NPS30_PS_CAN_DEFAULT_OPEN,1.389,13000
BALL_NPS30_PS_CAN_DEFAULT_OPEN,1.505,16000
BALL_NPS30_PS_CAN_DEFAULT_OPEN,1.62,22000
BALL_NPS30_PS_CAN_DEFAULT_OPEN,1.736,30000
BALL_NPS30_PS_CAN_DEFAULT_OPEN,2.083,184400
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,0,0
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,0.778,500
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,0.933,800
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,1.037,1000
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,1.296,1550
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,1.556,2400
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,1.815,3200
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,2.074,4400
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,2.333,5800
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,2.593,7700
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,2.852,9600
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,3.111,13000
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,3.37,16000
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,3.63,22000
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,3.889,30000
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,4.148,44000
BALL_NPS30_PS_CSHNG_4.7MIN_OPEN,4.667,184400
BALL_NPS30_PS_CSHNG_PUMP_OPEN,0,0
BALL_NPS30_PS_CSHNG_PUMP_OPEN,16.7,500
BALL_NPS30_PS_CSHNG_PUMP_OPEN,22.2,1000
BALL_NPS30_PS_CSHNG_PUMP_OPEN,27.8,1550
BALL_NPS30_PS_CSHNG_PUMP_OPEN,33.3,2400
BALL_NPS30_PS_CSHNG_PUMP_OPEN,38.9,3200
BALL_NPS30_PS_CSHNG_PUMP_OPEN,44.4,4400
BALL_NPS30_PS_CSHNG_PUMP_OPEN,50,5800
BALL_NPS30_PS_CSHNG_PUMP_OPEN,55.6,7700
BALL_NPS30_PS_CSHNG_PUMP_OPEN,61.1,9600
BALL_NPS30_PS_CSHNG_PUMP_OPEN,66.7,13000
BALL_NPS30_PS_CSHNG_PUMP_OPEN,72.2,16000
BALL_NPS30_PS_CSHNG_PUMP_OPEN,77.8,22000
BALL_NPS30_PS_CSHNG_PUMP_OPEN,83.3,30000
BALL_NPS30_PS_CSHNG_PUMP_OPEN,88.9,44000
BALL_NPS30_PS_CSHNG_PUMP_OPEN,100,160100
BALL_NPS30_PS_US_12MIN_30_70_OPEN,0,0
BALL_NPS30_PS_US_12MIN_30_70_OPEN,5.889,500
BALL_NPS30_PS_US_12MIN_30_70_OPEN,7.852,1000
BALL_NPS30_PS_US_12MIN_30_70_OPEN,9.815,1550
BALL_NPS30_PS_US_12MIN_30_70_OPEN,10.6,1890
BALL_NPS30_PS_US_12MIN_30_70_OPEN,10.667,2400
BALL_NPS30_PS_US_12MIN_30_70_OPEN,10.778,3200
BALL_NPS30_PS_US_12MIN_30_70_OPEN,10.889,4400
BALL_NPS30_PS_US_12MIN_30_70_OPEN,11,5800
BALL_NPS30_PS_US_12MIN_30_70_OPEN,11.111,7700
BALL_NPS30_PS_US_12MIN_30_70_OPEN,11.222,9600
BALL_NPS30_PS_US_12MIN_30_70_OPEN,11.333,13000
BALL_NPS30_PS_US_12MIN_30_70_OPEN,11.444,16000
BALL_NPS30_PS_US_12MIN_30_70_OPEN,11.556,22000
BALL_NPS30_PS_US_12MIN_30_70_OPEN,11.667,30000
BALL_NPS30_PS_US_12MIN_30_70_OPEN,12,184400
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,0,0
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,8.667,500
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,10.4,800
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,10.444,1000
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,10.556,1550
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,10.667,2400
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,10.778,3200
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,10.889,4400
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,11,5800
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,11.111,7700
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,11.222,9600
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,11.333,13000
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,11.444,16000
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,11.556,22000
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,11.667,30000
BALL_NPS30_PS_US_12MIN_FLANGED_OPEN,12,160100
BALL_NPS30_PS_US_12MIN_OPEN,0,0
BALL_NPS30_PS_US_12MIN_OPEN,8.667,500
BALL_NPS30_PS_US_12MIN_OPEN,10.4,800
BALL_NPS30_PS_US_12MIN_OPEN,10.444,1000
BALL_NPS30_PS_US_12MIN_OPEN,10.556,1550
BALL_NPS30_PS_US_12MIN_OPEN,10.667,2400
BALL_NPS30_PS_US_12MIN_OPEN,10.778,3200
BALL_NPS30_PS_US_12MIN_OPEN,10.889,4400
BALL_NPS30_PS_US_12MIN_OPEN,11,5800
BALL_NPS30_PS_US_12MIN_OPEN,11.111,7700
BALL_NPS30_PS_US_12MIN_OPEN,11.222,9600
BALL_NPS30_PS_US_12MIN_OPEN,11.333,13000
BALL_NPS30_PS_US_12MIN_OPEN,11.444,16000
BALL_NPS30_PS_US_12MIN_OPEN,11.556,22000
BALL_NPS30_PS_US_12MIN_OPEN,11.667,30000
BALL_NPS30_PS_US_12MIN_OPEN,12,184400
BALL_NPS30_PS_US_15MIN_30_70_OPEN,0,0
BALL_NPS30_PS_US_15MIN_30_70_OPEN,7.556,500
BALL_NPS30_PS_US_15MIN_30_70_OPEN,10.074,1000
BALL_NPS30_PS_US_15MIN_30_70_OPEN,12.593,1550
BALL_NPS30_PS_US_15MIN_30_70_OPEN,13.6,1890
BALL_NPS30_PS_US_15MIN_30_70_OPEN,13.667,2400
BALL_NPS30_PS_US_15MIN_30_70_OPEN,13.778,3200
BALL_NPS30_PS_US_15MIN_30_70_OPEN,13.889,4400
BALL_NPS30_PS_US_15MIN_30_70_OPEN,14,5800
BALL_NPS30_PS_US_15MIN_30_70_OPEN,14.111,7700
BALL_NPS30_PS_US_15MIN_30_70_OPEN,14.222,9600
BALL_NPS30_PS_US_15MIN_30_70_OPEN,14.333,13000
BALL_NPS30_PS_US_15MIN_30_70_OPEN,14.444,16000
BALL_NPS30_PS_US_15MIN_30_70_OPEN,14.556,22000
BALL_NPS30_PS_US_15MIN_30_70_OPEN,14.667,30000
BALL_NPS30_PS_US_15MIN_30_70_OPEN,15,184400
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,0,0
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,11.167,500
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,13.4,800
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,13.444,1000
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,13.556,1550
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,13.667,2400
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,13.778,3200
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,13.889,4400
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,14,5800
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,14.111,7700
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,14.222,9600
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,14.333,13000
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,14.444,16000
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,14.556,22000
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,14.667,30000
BALL_NPS30_PS_US_15MIN_FLANGED_OPEN,15,160100
BALL_NPS30_PS_US_15MIN_OPEN,0,0
BALL_NPS30_PS_US_15MIN_OPEN,11.167,500
BALL_NPS30_PS_US_15MIN_OPEN,13.4,800
BALL_NPS30_PS_US_15MIN_OPEN,13.444,1000
BALL_NPS30_PS_US_15MIN_OPEN,13.556,1550
BALL_NPS30_PS_US_15MIN_OPEN,13.667,2400
BALL_NPS30_PS_US_15MIN_OPEN,13.778,3200
BALL_NPS30_PS_US_15MIN_OPEN,13.889,4400
BALL_NPS30_PS_US_15MIN_OPEN,14,5800
BALL_NPS30_PS_US_15MIN_OPEN,14.111,7700
BALL_NPS30_PS_US_15MIN_OPEN,14.222,9600
BALL_NPS30_PS_US_15MIN_OPEN,14.333,13000
BALL_NPS30_PS_US_15MIN_OPEN,14.444,16000
BALL_NPS30_PS_US_15MIN_OPEN,14.556,22000
BALL_NPS30_PS_US_15MIN_OPEN,14.667,30000
BALL_NPS30_PS_US_15MIN_OPEN,15,184400
BALL_NPS30_PS_US_2MIN_OPEN,0,0
BALL_NPS30_PS_US_2MIN_OPEN,0.333,500
BALL_NPS30_PS_US_2MIN_OPEN,0.4,800
BALL_NPS30_PS_US_2MIN_OPEN,0.444,1000
BALL_NPS30_PS_US_2MIN_OPEN,0.556,1550
BALL_NPS30_PS_US_2MIN_OPEN,0.667,2400
BALL_NPS30_PS_US_2MIN_OPEN,0.778,3200
BALL_NPS30_PS_US_2MIN_OPEN,0.889,4400
BALL_NPS30_PS_US_2MIN_OPEN,1,5800
BALL_NPS30_PS_US_2MIN_OPEN,1.111,7700
BALL_NPS30_PS_US_2MIN_OPEN,1.222,9600
BALL_NPS30_PS_US_2MIN_OPEN,1.333,13000
