,DOWN_MONSECTION,DRAD,FLWBYP,FROM,FROM FILE,JPD1,JPD2,JPS1,JPS2,JQ1,JQ2,JRHS1,JRHS2,JWT1,JWT2,LINE,MISSING_DOWN_PRESS,MISSING_UP_PRESS,NOTE,PRSBYP,PRSEST_DEGRA,SHUTDS,SQ,TAGS,TO,UP_MONSECTION,XCOORD,YCOORD
,n/a,PERCENT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,M3/HR,n/a,n/a,n/a,n/a,n/a
HF_BELPL,"""BELPL-A0""",,0,NO_BELPL_N1,INPREP_INC\KSTA\LDS\BELPL.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_BELPL_N2,"""CAROP-A0""",9860,2690
HF_BNDLO,"""BNDLO-A0""",,0,NO_BNDLO_N1,INPREP_INC\KSTA\LDS\BNDLO.INC,,,,,,,,,,,3,0,0,,0,0,"""NO""",,,NO_BNDLO_N2,"""OYENP-A0""",4270,2690
HF_BRSTL,"""BRSTL-A0""",,0,NO_BRSTL_N1,INPREP_INC\KSTA\LDS\BRSTL.INC,,,,,,,,,,,54,0,0,,0,0,"""NO""",,,NO_BRSTL_N2,"""BNDLO-A0""",4871,1121
HF_BRYAN,"""BRYAN-B0""",,0,NO_BRYAN_N1,INPREP_INC\KSTD\LDS\BRYAN.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_BRYAN_N2,"""TPELO-B0""",37178,6441
HF_CABRP,"""CABRP-A0""",,0,NO_CABRP_N1,INPREP_INC\KSTA\LDS\CABRP.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_CABRP_N2,"""LBNTL-A0""",5870,2690
HF_CARMA,"""CARMA-A0""",,0,NO_CARMA_N1,INPREP_INC\KSTA\LDS\CARMA.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_CARMA_N2,"""ELMCK-A0""",17970,2710
HF_CAROP,"""CAROP-A0""",,0,NO_CAROP_N1,INPREP_INC\KSTA\LDS\CAROP.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_CAROP_N2,"""CHPLN-A0""",9050,2690
HF_CHPLN,"""CHPLN-A0""",,0,NO_CHPLN_N1,INPREP_INC\KSTA\LDS\CHPLN.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_CHPLN_N2,"""HRBRT-A0""",8270,2690
HF_CNTRL,"""CNTRL-A0""",,0,NO_CNTRL_N1,INPREP_INC\KSTB\LDS\CNTRL.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_CNTRL_N2,"""SLBRY-A0""",34830,2690
HF_CORGN,"""CORGN-B0""",,0,NO_CORGN_N1,INPREP_INC\KSTD\LDS\CORGN.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_CORGN_N2,"""LUFKIN-B0""",41178,6441
HF_CRMWL,"""CRMWL-B0""",,0,NO_CRMWL_N1,INPREP_INC\KSTD\LDS\CRMWL.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_CRMWL_N2,"""CSHSP-B0""",35568,6441
HF_CRNDL,"""CRNDL-A0""",,0,NO_CRNDL_N1,INPREP_INC\KSTA\LDS\CRNDL.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_CRNDL_N2,"""MOSMI-A0""",14690,2690
HF_CRPTR,"""CRPTR-A0""",,0,NO_CRPTR_N1,INPREP_INC\KSTA\LDS\CRPTR.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_CRPTR_N2,"""FERNY-A0""",24467,2690
HF_CSHSP,"""CSHSP-B0""",,0,NO_CSHSP_N2,INPREP_INC\KSTD\LDS\CSHSP.INC,,,,,,,,,,,5,0,0,,0,0,"""NO""",,,NO_CSHSP_N3,"""PNCCP-B0""",34775,6448
HF_CTGOI,"""CTGOI-B0""",,0,NO_CTGOI_S,INPREP_INC\KSTD\LDS\HSTNL.INC,-1,,1,,0,,1,,0,,7,0,0,,0,0,"""NO""",,,NO_CTGOI_D,"""LIBRT-B0""",42172,4978
HF_DELTA,"""DELTA-B0""",,0,NO_DELTA_N1,INPREP_INC\KSTD\LDS\DELTA.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_DELTA_N2,"""HF_BRYAN""",37958,6441
HF_DVDCT,"""DVDCT-A0""",,0,NO_DVDCT_N1,INPREP_INC\KSTA\LDS\DVDCT.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_DVDCT_N2,"""STNTO-A0""",28470,2690
HF_EDNBG,"""EDNBG-A0""",,0,NO_EDNBG_N1,INPREP_INC\KSTA\LDS\EDNBG.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_EDNBG_N2,"""HSKTT-A0""",19660,2690
HF_FERNY,"""FERNY-A0""",,0,NO_FERNY_N1,INPREP_INC\KSTA\LDS\FERNY.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_FERNY_N2,"""LUDDE-A0""",23660,2690
HF_FREMA,"""FREMA-A0""",,0,NO_FREMA_N1,INPREP_INC\KSTA\LDS\FREMA.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_FREMA_N2,"""ROSWL-A0""",26048,2690
HF_FTRSM,"""FTRSM-A0""",,0,NO_FTRSM_N1,INPREP_INC\KSTA\LDS\FTRSM.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_FTRSM_N2,"""LUVER-A0""",22050,2690
HF_GRNFL,"""GRNFL-A0""",,0,NO_GRNFL_N1,INPREP_INC\KSTA\LDS\GRNFL.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_GRNFL_N2,"""KENDL-A0""",12270,2690
HF_HOPEP,"""HOPEP-B0""",,0,NO_HOPEP_N1,INPREP_INC\KSTC\LDS\HOPEP.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_HOPEP_N2,"""STLCB-B0""",31426,6439
HF_HRBRT,"""HRBRT-A0""",,0,NO_HRBRT_N1,INPREP_INC\KSTA\LDS\HRBRT.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_HRBRT_N2,"""STWTV-A0""",7490,2690
HF_HRTFD,"""HRTFD-A0""",,0,NO_HRTFD_N1,INPREP_INC\KSTB\LDS\HRTFD.INC,,,,,,,,,,,6,0,0,,0,0,"""NO""",,,NO_HRTFD_N2,"""SNTPL-A0""",37230,2730
HF_HRTFD_P,0,,0,NO_HRTDD_DEL,INPREP_INC\KSTB\LDS\HRTFD.INC,,,,,,,,,,,109,0,0,,0,0,"""NO""",,,NO_HRTDD_MOV0212_D,0,37550,1717
HF_HRTGT,"""HRTGT-A0""",,0,NO_HRTGT_N1,INPREP_INC\KSTA\LDS\HRTGT.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_HRTGT_N2,"""FREMA-A0""",26870,2690
HF_HSKTT,"""HSKTT-A0""",,0,NO_HSKTT_N1,INPREP_INC\KSTA\LDS\HSKTT.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_HSKTT_N2,"""CARMA-A0""",18863,2711
HF_HSTNL,"""HSTNL-B0""",,0,NO_LIBRT_D,INPREP_INC\KSTD\LDS\HSTNL.INC,,,,,,,,,,,20,0,0,,0,0,"""NO""",,,NO_HSTNL_N1,"""LIBRT-B0""",42389,6035
HF_KENDL,"""KENDL-A0""",,0,NO_KENDL_N1,INPREP_INC\KSTA\LDS\KENDL.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_KENDL_N2,"""REGNA-A0""",11450,2690
HF_LBNTL,"""LBNTL-A0""",,0,NO_LBNTL_N1,INPREP_INC\KSTA\LDS\LBNTL.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_LBNTL_N2,"""BRSTL-A0""",5070,2690
HF_LIBRT,"""LIBRT-B0""",,0,NO_LIBRT_N1,INPREP_INC\KSTD\LDS\LIBRT.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_LIBRT_N2,"""CORGN-B0""",41965,6448
HF_LIBRT_01A,"""LIBRT-01A-B0""",,0,NO_LIBRT_01A_S,INPREP_INC\KSTD\LDS\HSTNL.INC,,,,,,,,,,,16,0,0,,0,0,"""NO""",,,NO_LIBRT_01A_D,"""LIBRT-B0""",42376,5256
HF_LKSND,"""LKSND-A0""",,0,NO_LKSND_N1,INPREP_INC\KSTA\LDS\LKSND.INC,,,,,,,,,,,3,0,0,,0,0,"""NO""",,,NO_LKSND_N2,"""HRDSY-A0""",1830,2670
HF_LKTLR,"""LKTLR-B0""",,0,NO_LKTLR_N1,INPREP_INC\KSTD\LDS\LKTLR.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_LKTLR_N2,"""WNSBR-B0""",39594,6441
HF_LUDDE,"""LUDDE-A0""",,0,NO_LUDDE_N1,INPREP_INC\KSTA\LDS\LUDDE.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_LUDDE_N2,"""FTRSM-A0""",22870,2690
HF_LUFKN,"""LUFKN-B0""",,0,NO_LUFKN_N1,INPREP_INC\KSTD\LDS\LUFKN.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_LUFKN_N2,"""LKTLR-B0""",40360,6441
HF_LUVER,"""LUVER-A0""",,0,NO_LUVER_N1,INPREP_INC\KSTA\LDS\LUVER.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_LUVER_N2,"""NAGRA-A0""",21250,2690
HF_MDLTP,"""MDLTP-A0""",,0,NO_MDLTP_N1,INPREP_INC\KSTB\LDS\MDLTP.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_MDLTP_N2,"""CNTRL-A0""",35650,2690
HF_MNTOR,"""MNTOR-A0""",,0,NO_MNTOR_N1,INPREP_INC\KSTA\LDS\MNTOR.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_MNTOR_N2,"""LKSND-A0""",2670,2670
HF_MOSMI,"""MOSMI-A0""",,0,NO_MOSMI_N1,INPREP_INC\KSTA\LDS\MOSMI.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_MOSMI_N2,"""WTWOD-A0""",13870,2690
HF_NAGRA,"""NAGRA-A0""",,0,NO_NAGRA_N1,INPREP_INC\KSTA\LDS\NAGRA.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_NAGRA_N2,"""EDNBG-A0""",20470,2690
HF_NDLPS,"""NDLPS-B0""",,0,NO_NDLPS_N1,INPREP_INC\KSTD\LDS\NDLPS.INC,,,,,,,,,,,6,0,0,,0,0,"""NO""",,,NO_NDLPS_N2,"""LUCAS-NDRLD-B0""",44293,4884
HF_OYENP,"""OYENP-A0""",,0,NO_OYENP_N1,INPREP_INC\KSTA\LDS\OYENP.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_OYENP_N2,"""MNTOR-A0""",3478,2690
HF_PEROP,"""PEROP-A0""",,0,NO_PEROP_N1,INPREP_INC\KSTB\LDS\PEROP.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_PEROP_N2,"""HRTFD-A0""",38293,2720
HF_PNCCP,"""PNCCP-B0""",,0,NO_PNCCP_N1,INPREP_INC\KSTC\LDS\PNCCP.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_PNCCP_N2,"""ROCKP-B0""",33005,6438
HF_PRTLP,"""PRTLP-A0""",,0,NO_PRTLP_N1,INPREP_INC\KSTA\LDS\PRTLP.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_PRTLP_N2,"""WELWD-A0""",17070,2710
HF_REGNA,"""REGNA-A0""",,0,NO_REGNA_N1,INPREP_INC\KSTA\LDS\REGNA.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_REGNA_N2,"""BELPL-A0""",10650,2690
HF_ROCKP,"""ROCKP-B0""",,0,NO_ROCKP_N1,INPREP_INC\KSTC\LDS\ROCKP.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_ROCKP_N2,"""HOPEP-B0""",32205,6438
HF_ROSWL,"""ROSWL-A0""",,0,NO_ROSWL_N1,INPREP_INC\KSTA\LDS\ROSWL.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_ROSWL_N2,"""CRPTR-A0""",25270,2690
HF_RPDCT,"""RPDCT-A0""",,0,NO_RPDCT_N1,INPREP_INC\KSTA\LDS\RPDCT.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_RPDCT_N2,"""CRNDL-A0""",15470,2690
HF_SLBRY,"""SLBRY-A0""",,0,NO_SLBRY_N1,INPREP_INC\KSTB\LDS\SLBRY.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_SLBRY_N2,"""TINAP-A0""",34070,2690
HF_SNECA,"""SNECA-A0""",,0,NO_SNECA_N1,INPREP_INC\KSTB\LDS\SNECA.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_SNECA_N2,"""STLCA-A0""",30870,2690
HF_SNTPL,"""SNTPL-A0""",,0,NO_SNTPL_N1,INPREP_INC\KSTB\LDS\SNTPL.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_SNTPL_N2,"""MDLTP-A0""",36440,2730
HF_STLCA,"""STLCA-A0""",0.0001,0,NO_STLCT_D,INPREP_INC\KSTA\LDS\STLCT.INC,-1,,1,,,,,,0,,45,0,0,,0,0,"""NO""",,,NO_STLCT_SWING_D,"""STLCT-A0""",30274,2016
HF_STLCB,"""STLCB-B0""",0.0001,0,NO_STLCB_S,INPREP_INC\KSTC\LDS\STLCB.INC,,,,,,,,,,,3,0,0,,0,0,"""NO""",,,NO_STLCB_N2,"""STLCT-A0""",30424,2888
HF_STLCT,"""STLCT-A0""",,0,NO_STLCT_N1,INPREP_INC\KSTA\LDS\STLCT.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_STLCT_N2,"""WLBER-A0""",30070,2690
HF_STNTO,"""STNTO-A0""",,0,NO_STNTO_N1,INPREP_INC\KSTA\LDS\STNTO.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_STNTO_N2,"""HRTGT-A0""",27670,2690
HF_STWTV,"""STWTV-A0""",,0,NO_STWTV_N1,INPREP_INC\KSTA\LDS\STWTV.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_STWTV_N2,"""CABRP-A0""",6670,2690
HF_SVRNC,"""SVRNC-A0""",,0,NO_SVRNC_N1,INPREP_INC\KSTB\LDS\SVRNC.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_SVRNC_N2,"""SNECA-A0""",31660,2690
HF_TINAP,"""TINAP-A0""",,0,NO_TINAP_N1,INPREP_INC\KSTB\LDS\TINAP.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_TINAP_N2,"""TRNEY-A0""",33270,2690
HF_TPELO,"""TPELO-B0""",,0,NO_TPELO_N1,INPREP_INC\KSTD\LDS\TPELO.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_TPELO_N2,"""CRMWL-B0""",36352,6441
HF_TRNEY,"""TRNEY-A0""",,0,NO_TRNEY_N1,INPREP_INC\KSTB\LDS\TRNEY.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_TRNEY_N2,"""SVRNC-A0""",32450,2690
HF_WELWD,"""WELWD-A0""",,0,NO_WELWD_N1,INPREP_INC\KSTA\LDS\WELWD.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_WELWD_N2,"""RPDCT-A0""",16270,2690
HF_WLBER,"""WLBER-A0""",,0,NO_WLBER_N1,INPREP_INC\KSTA\LDS\WLBER.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_WLBER_N2,"""DVDCT-A0""",29250,2690
HF_WNSBR,"""WNSBR-B0""",,0,NO_WNSBR_N1,INPREP_INC\KSTD\LDS\WNSBR.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_WNSBR_N2,"""DELTA-B0""",38758,6441
HF_WTWOD,"""WTWOD-A0""",,0,NO_WTWOD_N1,INPREP_INC\KSTA\LDS\WTWOD.INC,,,,,,,,,,,4,0,0,,0,0,"""NO""",,,NO_WTWOD_N2,"""GRNFL-A0""",13070,2690
