,CAN_DEFAULT,DEFAULT,DESCRIPTION,FORMAT,HI,HI-HI,LOW,LOW-LOW,UNIT_KEY,UNITS
H * P-,Yes,0,Upstream pressure used to back-calculate friction factor,2,9999.98,12000,68.9473,0,PRESSURE,KPAG
H * Q,Yes,0,Flow used to back-calculate friction factor,2,9936.71,66244.7,66.2447,0,FLOW,M3/HR
H * T+,Yes,8,Initial fluid temperature at downstream end,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
H * T-,Yes,8,Initial fluid temperature at upstream end,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
H * TMP,Yes,21.1111,Outlet temperature,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
H * WT,No,12.7,Wall thickness,2,25.4,31.75,5.08,2.54,WALL,MM
HF * DRAD,Yes,100,DRA degradation,2,100,100,0,0,DEGRADATION,PERCENT
HF * JP,Yes,0,"multiplier for inlet pressure, first equation",2,1e+10,1e+10,-1e+10,-1e+10,NONE,
HF * JQ,Yes,0,"multiplier for flow, first equation",2,1e+10,1e+10,-1e+10,-1e+10,NONE,
HF * JRHS,Yes,0,desired value of first equation,2,1e+10,1e+10,-1e+10,-1e+10,NONE,
HF * JWT,Yes,0,"weight, first equation",2,1e+10,1e+10,-1e+10,-1e+10,NONE,
HF * SQ,Yes,0,Flow setpoint,2,6.62447e+06,6.62447e+09,-6.62447e+06,-6.62447e+09,FLOW,M3/HR
I * DLY,Yes,0,Delay for initiating an event-programmed response,2,1e+22,1e+22,0,0,TIME,MIN
I * FUNC1,No,0,Output value before activation begins,2,1e+22,1e+22,-1e+22,-1e+22,NONE,
I * FUNC2,No,0,Output value after activation ends,2,1e+22,1e+22,-1e+22,-1e+22,NONE,
I * SC,Yes,1,Time scale factor,2,1e+22,1e+22,0,0,NONE,
I * ST,Yes,1e+20,Time scale shift,2,1e+22,1e+22,0,0,TIME,MIN
I * T1,No,0,Beginning reference time,2,1e+22,1e+22,-1e+22,-1e+22,SIG.TIME,MIN
I * T2,No,0,Ending reference time,2,1e+22,1e+22,-1e+22,-1e+22,SIG.TIME,MIN
I * VAL,Yes,0,Constant value,2,1e+22,1e+22,-1e+22,-1e+22,NONE,
IA * MATD,Yes,1589.87,Downstream pipe volume to search,2,15898.7,158987,158.987,15.8987,VOLUME,M3
IA * MATU,Yes,1589.87,Upstream pipe volume to search,2,15898.7,158987,158.987,15.8987,VOLUME,M3
IA * SIG,Yes,794.936,Volume of signal to save and search for,2,7949.36,79493.6,79.4936,7.94936,VOLUME,M3
ISOTHERMAL * TEMP,Yes,21.1111,Temperature,2,65.5556,121.111,-17.7778,-45.5556,TEMPERATURE,DC
KC * DLOSS,Yes,0.025,Fraction of power lost to inlet and outlet ducting,2,0.5,0.5,0,0,EFFICIENCY,FR
KC * ELEV,Yes,0,Elevation of the compressor,2,2377.44,3048,0,-76.2,ELEVATION,M
KC * HEC,Yes,1,Multiplier of table hydraulic efficiency values,2,0.99,1.1,0.6,0.5,NONE,
KC * HR,Yes,0,Constant heat rate,2,28297.1,42445.6,0,0,HEAT.RATE,KJ/KW-HR
KC * ME,Yes,0.97,The mechanical efficiency,2,0.99,1.1,0.6,0.5,EFFICIENCY,FR
KC * MNS,Yes,0,Compressor minimum speed,2,1e+22,1e+22,0,0,SPEED,RPM
KC * MXPW,Yes,74570,Maximum permissible turbine power under any conditions,2,18642.5,37285,74.57,0,POWER,KW
KC * MXS,Yes,1e+22,Compressor maximum speed,2,1e+22,1e+22,0,0,SPEED,RPM
KC * MXT+,Yes,260,High discharge temperature trip,2,315.556,371.111,15.5556,4.44444,TEMPERATURE,DC
KC * MXTE,Yes,5.55556e+21,Maximum power turbine exhaust temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
KC * NPOLY,Yes,1.3,Polytropic exponent,2,1.6,5,1.1,1.0001,NONE,
KC * NRN,Yes,1,Number of identical running compressors,2,10,20,0,0,NONE,
KC * SP+,Yes,0,Discharge pressure setpoint,2,13789.5,689473,9652.63,2068.42,PRESSURE,KPAG
KC * SP-,Yes,0,Suction pressure set point,2,5515.79,6894.73,2068.42,0,PRESSURE,KPAG
KC * SQ+,Yes,0,Flow set point,2,1.17987e+06,1.7698e+06,0,0,FLOW,M3/HR
KC * SS,Yes,0,Controlled compressor speed,2,1e+22,1e+22,0,0,SPEED,RPM
KC * START,Yes,3,Start time,2,10,30,0.4,0.25,TIME,MIN
KC * STOP,Yes,3,Stop time,2,10,30,0.4,0.25,TIME,MIN
KC * TA,Yes,21.1111,Ambient temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
KC * TR,Yes,15,Reference temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
KC * TRR,Yes,1.3,Temperature rise ratio,2,1.6,5,1.1,1.0001,NONE,
KP * DDROP_P+,Yes,0,Pressure used to calculate discharge piping loss,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
KP * DDROP_P-,Yes,0,Pressure used to calculate discharge piping loss,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
KP * DDROP_Q,Yes,0,Flow used to calculate suction discharge loss,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
KP * EFF,Yes,1,Efficiency,2,1,1,0,0,EFFICIENCY,FR
KP * HR,Yes,0,Constant heat rate,2,28297.1,42445.6,0,0,HEAT.RATE,KJ/KW-HR
KP * K1,Yes,0.12198,Compressor equation coefficient one,2,6.3202e+18,6.3202e+18,0,0,POWER.OVER.FLOW,KW-HR/M3
KP * K2,Yes,0.121348,Compressor equation coefficient two,2,6.3202e+18,6.3202e+18,0,0,POWER.OVER.FLOW,KW-HR/M3
KP * K3,Yes,0.231,Compressor equation exponent,2,1e+22,1e+22,0,0,NONE,
KP * MNP-,Yes,0,Minimum suction pressure constraint,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
KP * MNPW,Yes,0,Minimum allowable compressor power constraint,2,7.457e+21,7.457e+21,0,0,POWER,KW
KP * MNQ,Yes,0,Minimum flow constraint,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
KP * MNR,Yes,1,Minimum compressor ratio constraint,2,10,10,0,0,NONE,
KP * MXP+,Yes,68947.3,Maximum discharge pressure constraint,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
KP * MXPW,Yes,7.457e+21,Maximum allowable compressor power constraint,2,7.457e+21,7.457e+21,0,0,POWER,KW
KP * MXQ,Yes,1.17987e+07,Maximum flow constraint,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
KP * MXR,Yes,10,Maximum compressor ratio constraint,2,10,10,0,0,NONE,
KP * NPOLY,Yes,1.3,Polytropic exponent,2,1.6,5,1.1,1.0001,NONE,
KP * NRN,Yes,1,Number of identical running compressors,2,10,20,0,0,NONE,
KP * RP,No,745.7,Rated power for spin up and spin down sequencing,2,18642.5,28336.6,745.7,372.85,POWER,KW
KP * SDROP_P+,Yes,0,Pressure used to calculate suction piping loss,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
KP * SDROP_P-,Yes,0,Pressure used to calculate suction piping loss,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
KP * SDROP_Q,Yes,0,Flow used to calculate suction piping loss,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
KP * SP+,Yes,68947.3,Discharge pressure setpoint,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
KP * SP-,Yes,0,Suction pressure setpoint,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
KP * SPW,Yes,7.457e+21,Compressor power setpoint,2,7.457e+21,7.457e+21,0,0,POWER,KW
KP * SQ+,Yes,1.17987e+07,Flow setpoint,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
KP * SR,Yes,10,Compression ratio setpoint,2,10,10,0,0,NONE,
KP * START,Yes,3,Start time,2,10,30,0.4,0.25,TIME,MIN
KP * STOP,Yes,3,Stop time,2,10,30,0.4,0.25,TIME,MIN
KP * TRR,Yes,1.3,Temperature rise ratio,2,1.6,5,1.1,1.0001,NONE,
KV * AMT,Yes,1,Angle movement time,2,5,15,0.25,0.1,TIME,MIN
KV * HEC,Yes,1,Multiplier of table hydraulic efficiency values,2,0.99,1.1,0.6,0.5,NONE,
KV * HR,Yes,0,Constant heat rate,2,28297.1,42445.6,0,0,HEAT.RATE,KJ/KW-HR
KV * ME,Yes,0.97,The mechanical efficiency,2,0.99,1.1,0.6,0.5,EFFICIENCY,FR
KV * MNA,Yes,0,Minimum guide vane angle,2,70,90,-70,-90,ANGLE,DEGREE
KV * MNP-,Yes,0,Minimum suction pressure constraint,2,9652.63,13789.5,0,0,PRESSURE,KPAG
KV * MNPW,Yes,0,Minimum permissible power,2,7457,11185.5,0,0,POWER,KW
KV * MXA,Yes,0,Maximum guide vane angle,2,70,90,-70,-90,ANGLE,DEGREE
KV * MXP+,Yes,68947.3,Maximum discharge pressure constraint,2,9652.63,13789.5,0,0,PRESSURE,KPAG
KV * MXPW,Yes,74570,Maximum permissible turbine power under any conditions,2,18642.5,37285,74.57,0,POWER,KW
KV * MXT+,Yes,260,High discharge temperature trip,2,315.556,371.111,15.5556,4.44444,TEMPERATURE,DC
KV * NPOLY,Yes,1.3,Polytropic exponent,2,1.6,5,1.1,1.0001,NONE,
KV * NRN,Yes,1,Number of identical running compressors,2,10,20,0,0,NONE,
KV * SA,Yes,100,Guide vane angle set point,2,70,90,-70,-90,ANGLE,DEGREE
KV * SP+,Yes,68947.3,Discharge pressure setpoint,2,9652.63,13789.5,2068.42,0,PRESSURE,KPAG
KV * SP-,Yes,0,Suction pressure set point,2,5515.79,6894.73,2068.42,0,PRESSURE,KPAG
KV * SPD,No,0,Speed at which the compressor will operate,2,20000,30000,1000,0,SPEED,RPM
KV * SPWR,Yes,74570,Power set point,2,18642.5,37285,74.57,0,POWER,KW
KV * SQ+,Yes,1.17987e+07,Flow set point,2,1.17987e+06,1.7698e+06,0,0,FLOW,M3/HR
KV * START,Yes,3,Start time,2,10,30,0.4,0.25,TIME,MIN
KV * STOP,Yes,3,Stop time,2,10,30,0.4,0.25,TIME,MIN
KV * TRR,Yes,1.3,Temperature rise ratio,2,1.6,5,1.1,1.0001,NONE,
MS * QSMN.NB,Yes,0,Minimum diagnostic flow used in QST circulation calculations,2,662.447,6624.47,0,0,FLOW,M3/HR
MS * QSMN.SB,Yes,0,Minimum diagnostic flow used in leak location calculations,2,662.447,6624.47,0,0,FLOW,M3/HR
P * DH+BP,Yes,0,Differential head at BEP flow and 0 speed,2,3.048e+09,6.096e+09,-3.048e+09,-6.096e+09,HEAD,M
P * DH-BP,Yes,0,Differential head at BEP reverse flow and 0 speed,2,3.048e+09,6.096e+09,-3.048e+09,-6.096e+09,HEAD,M
P * DP,Yes,0,valve pressure drop when fully open,2,34.4737,137.895,-0.00689473,-6.89473,DELTA.PRES,KPA
P * DRA_DEG,Yes,100,DRA degradation,2,100,100,0,0,DEGRADATION,PERCENT
P * H-MULT,Yes,1,Multiplier for head or power data,2,10,20,0.1,0.05,NONE,
P * HD-BP,No,304.8,Pump differential head at BEP,2,914.4,1066.8,3.048,1.524,HEAD,M
P * HP-BP,No,9321.25,Pump brake horsepower based on water at BEP,2,9694.1,14914,74.57,0.7457,POWER,KW
P * INERT,Yes,42.1401,Effective moment of inertia,2,210.7,421.401,0.00421401,4.21401e-05,INERTIA,KG-M2
P * POWER,No,9321.25,Rated driver power,2,9694.1,14914,74.57,0.7457,POWER,KW
P * Q,Yes,0,valve flow when fully open,2,7949.36,13248.9,-0.00662447,-6.62447,FLOW,M3/HR
P * Q-BP,No,6624.47,Pump flow rate at BEP,2,7949.36,13248.9,79.4936,0,PUMP.AFLOW,AM3/HR
P * Q-MULT,Yes,1,Multiplier for flow data,2,5,10,0.2,0.1,NONE,
P * QMAX,Yes,3312.24,maximum flow,2,7949.36,13248.9,331.224,662.447,FLOW,M3/HR
P * RPM-BP,No,1000,Pump speed at best efficiency point,2,3600,10000,700,30,SPEED,RPM
P * SFR,Yes,0,"Stopping friction, percent of rated torque",2,5,10,0,0,PERCENT,PERCENT
P * SMIN,Yes,1000,minimum speed,2,2000,3600,100,30,SPEED,RPM
P * SPEED,No,1000,Rated pump speed,2,3600,10000,700,30,SPEED,RPM
P * START,Yes,0,Delay after pump is started before valve starts to open,2,2,5,-1,-2,TIME,MIN
P * STG,Yes,0,Number of stages,,5,10,1,1,NONE,
P * STOP,Yes,0,Delay after pump is stopped before valve starts to close,2,280000,300000,-1,-2,TIME,MIN
P * TORQ,Yes,160,Average starting torque as a percent of running torque,2,200,250,100,80,NONE,
P * TQ+BP,Yes,0,Pump torque at BEP flow and 0 speed,2,1.35582e+10,2.71164e+10,-1.35582e+10,-2.71164e+10,TORQUE,N-M
P * TQ-BP,Yes,0,Pump torque at BEP reverse flow and 0 speed,2,1.35582e+10,2.71164e+10,-1.35582e+10,-2.71164e+10,TORQUE,N-M
P * TRT,Yes,0,valve travel time,2,10,60,-0.001,-1,TIME,MIN
PIPEPARMS * ETOL,Yes,0,Elevation data reduction tolerance,2,10,14,0.5,0,ELEVATION,M
PIPEPARMS * N,Yes,2.394e-06,Pipe thermal expansion coefficient,2,1.8,1.818,5.4e-08,0,INVERSEDELTAT,1/DC
PIPEPARMS * PINIT,Yes,2068.42,Initial pressure at the highest elevation,2,10342.1,13789.5,6.89473,0,PRESSURE,KPAG
PIPEPARMS * PTOL,Yes,0,Pressure data reduction tolerance,2,13.7895,68.9473,0,0,DELTA.PRES,KPA
PIPEPARMS * SPAC,Yes,0,Pipe interval (knot) spacing,2,16.0934,40.2336,0.0160934,0,LENGTH.PIPE,KM
RC * CE,Yes,1,Compressor efficiency,2,0.97,1,0.8,0.5,EFFICIENCY,FR
RC * DBS,Yes,5,Speed dead band,2,50,100,0,0,SPEED,RPM
RC * DBT,Yes,1,Torque dead band as percentage of rated torque,2,20,20,0,0,FRACTION.TORQUE,PERCENT
RC * DEL,Yes,3,Time delay for trips and unloading step selection,2,1e+06,1e+06,0,0,TIME,MIN
RC * HR,Yes,0,Constant heat rate,2,28297.1,42445.6,0,0,HEAT.RATE,KJ/KW-HR
RC * LC,Yes,0.04,Additive correction to volumetric efficiency,2,1,1,0,0,NONE,
RC * LM,Yes,0,Multiplicative correction to volumetric efficiency,2,10,10,0,0,NONE,
RC * ME,Yes,0.95,Mechanical efficiency,2,0.97,1,0.8,0.5,EFFICIENCY,FR
RC * NPOLY,Yes,1.3,Polytropic exponent,2,1.6,5,1.1,1.0001,NONE,
RC * NRN,Yes,1,Number of identical running compressors,2,10,20,0,0,NONE,
RC * PDMAX,Yes,68947.3,Discharge pressure setpoint,2,9652.63,13789.5,2068.42,0,PRESSURE,KPAG
RC * PSMIN,Yes,0,Suction pressure setpoint,2,5515.79,6894.73,2068.42,0,PRESSURE,KPAG
RC * PWMAX,No,0,Maximum operating power at maximum speed,2,745700,745700,0,0,POWER,KW
RC * RMAX,Yes,10,Maximum operating compression ratio,2,10,10,0,0,NONE,
RC * SMAX,No,0,Maximum operating speed,2,1e+06,1e+06,0,0,SPEED,RPM
RC * SMIN,Yes,0,Minimum operating speed,2,1e+06,1e+06,0,0,SPEED,RPM
RC * SPQ,Yes,1.17987e+07,Flow setpoint,2,1.17987e+06,1.7698e+06,0,0,FLOW,M3/HR
RC * SPS,Yes,0,Speed setpoint,2,1e+06,1e+06,0,0,SPEED,RPM
RC * SPT,Yes,100,Torque setpoint as percentage of rated torque,2,150,200,0,0,FRACTION.TORQUE,PERCENT
RC * START,Yes,0.5,Start time,2,10,30,0.4,0.25,TIME,MIN
RC * STOP,Yes,0.5,Stop time,2,10,30,0.4,0.25,TIME,MIN
RC * TQMAX,Yes,100,Maximum operating torque as percentage of rated torque,2,150,200,100,0,FRACTION.TORQUE,PERCENT
RC * TQMIN,Yes,80,Minimum operating torque as percentage of rated torque,2,100,100,0,0,FRACTION.TORQUE,PERCENT
RC * TRR,Yes,1.3,Temperature rise ratio,2,1.6,5,1.1,1.0001,NONE,
RE * CVC,Yes,0,Valve coef when fully closed,2,29.167,145.835,0,0,VALVE.COEFF,GAL/MIN-PSI.5
RE * CVO,No,0,Valve coef when fully opened,2,875010,8.7501e+06,875.01,0,VALVE.COEFF,GAL/MIN-PSI.5
RE * DRA_DEG,Yes,100,DRA Degradation,2,100,100,0,0,DEGRADATION,PERCENT
RE * SFR,Yes,1,Fraction open setpoint,2,1,1,0,0,FRACTION,FR
RE * SP+,Yes,68947.3,Discharge pressure setpoint,2,68947.3,68947.3,0,0,PRESSURE,KPAG
RE * SP-,Yes,0,Suction pressure setpoint,2,68947.3,68947.3,0,0,PRESSURE,KPAG
RE * SQ,Yes,1.17987e+08,Flow setpoint,2,2.35974e+08,1.17987e+09,0,0,FLOW,M3/HR
RE * TT,Yes,0.5,Travel time,2,3,10,0,0,TIME,MIN
RG * CGMAX,No,0,Valve coef when fully opened,2,12320.6,123206,123.206,0,VALVE.CG,M3/HR-KPA
RG * CGMIN,Yes,0,Valve coef when fully closed,2,0.410687,2.05343,0,0,VALVE.CG,M3/HR-KPA
RG * DRA_DEG,Yes,100,DRA Degradation,2,100,100,0,0,DEGRADATION,PERCENT
RG * SFR,Yes,1,Fraction open setpoint,2,1,1,0,0,FRACTION,FR
RG * SPD,Yes,68947.3,Discharge pressure setpoint,2,68947.3,68947.3,0,0,PRESSURE,KPAG
RG * SPU,Yes,0,Suction pressure setpoint,2,68947.3,68947.3,0,0,PRESSURE,KPAG
RG * SQ,Yes,1.17987e+08,Flow setpoint,2,2.35974e+08,1.17987e+09,0,0,FLOW,M3/HR
RG * TT,Yes,0.5,Travel time,2,3,10,0,0,TIME,MIN
RV * CVC,Yes,0,Valve coef when fully closed,2,0.1,1,0,0,VALVE.COEFF,GAL/MIN-PSI.5
RV * CVO,No,500,Valve coef when fully open,2,400001,500000,50,10,VALVE.COEFF,GAL/MIN-PSI.5
RV * DIAM,No,152.4,Diameter at flange,2,600,900,50.8,25.4,DIAMETER,MM
RV * DRAD,Yes,100,DRA Degradation,2,100,100,0,0,DEGRADATION,PERCENT
RV * NCC,Yes,0,Closing normalization constant,2,1.45038e+21,1.45038e+21,0,0,INVERSEDELTAP,1/KPA
RV * NCO,Yes,0,Opening normalization constant,2,1.45038e+21,1.45038e+21,0,0,INVERSEDELTAP,1/KPA
RV * PC,Yes,3447.37,Closing pressure setpoint,2,6894.73,10342.1,689.473,344.737,PRESSURE,KPAG
RV * PO,No,3447.37,Opening pressure setpoint,2,6895,20000,689,345,PRESSURE,KPAG
RV * TTC,Yes,0.00833333,Closing time,2,0.0333333,0.08,5e-05,1e-05,TIME,MIN
RV * TTO,Yes,0.00833333,Opening time,2,0.0333333,0.08,5e-05,1e-05,TIME,MIN
SC * ACC,Yes,50,Accuracy limit for the measurement,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * ACP,Yes,43200,Autocalibration period,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * BIAS,Yes,0,Bias on :FILT value,2,10,1000,-10,-1000,NONE,
SC * BMAX,Yes,1e+10,Maximum value to use when measurement is BAD,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * BMIN,Yes,-1e+10,Minimum value to use when measurement is BAD,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * BRB,Yes,1e+10,Rate bound to use when measurement is BAD,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * BREP,Yes,1000,Repeatability to use when measurement is BAD,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * BRM1,Yes,1,EREP decay time multiplier for large EREP,2,3,9,0,0,NONE,
SC * BRM2,Yes,1,EREP decay time multiplier for small EREP,2,3,9,0,0,NONE,
SC * FORE,Yes,0,"When using forecast data, current value of the forecast",2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * IMAX,Yes,1e+10,Maximum value accepted as GOOD,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * IMIN,Yes,-1e+10,Minimum value accepted as GOOD,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * MREP,Yes,10,Repeatability to use for MANUAL points,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * MULT,Yes,1,Multiplier on :FILT value,2,10,1000,-10,-1000,NONE,
SC * NREP,Yes,10,Repeatability to use for NOCHANGE points,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * OFF,Yes,0,Value to use when MODE=OFF,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * OMAX,Yes,1e+10,Maximum limit on calculated value,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * OMIN,Yes,-1e+10,Minimum limit on calculated value,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * OREP,Yes,10,Repeatability to use when mode is OFF,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * RANGE,Yes,1000,Instrument range (used when using X item percentages),2,2000,5000,100,10,NONE,
SC * RB,Yes,1e+10,Maximum allowed change with respect to time,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * RDR,Yes,1,Repeatability decay rate,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * REP,Yes,10,Repeatability limit for the measurement,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * SDB,Yes,1e+10,Maximum allowed second difference,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * SP,Yes,0,Expected scan period for measurement,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * TAVE,Yes,0,Time averaging period,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * TEB,Yes,0,Maximum error in time stamp for the measurement,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * TOUT,Yes,5,Require updates at least this often for GOOD status,2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * VAL,Yes,0,value to use (instead of value from RTUDATA file),2,1e+20,1e+20,-1e+20,-1e+20,NONE,
SC * XACC,Yes,5,Percentage accuracy limit for the measurement,2,5,10,0.5,0.1,XRANGE,PERCENT
SC * XBRB,Yes,1e+09,Percentage rate bound to use when measurement is BAD,2,1e+20,1e+20,-1e+20,-1e+20,XRANGE.OVER.TIME,PERCENT/MIN
SC * XBREP,Yes,100,Percentage repeatability to use when measurement is BAD,2,100,100,5,1,XRANGE,PERCENT
